"DATE","TIME PERIOD","Argentine peso/Euro (EXR.M.ARS.EUR.SP00.A)","Argentine peso/Euro (EXR.M.ARS.EUR.SP00.E)","Australian dollar/Euro (EXR.M.AUD.EUR.SP00.E)","Bulgarian lev/Euro (EXR.M.BGN.EUR.SP00.E)","Brazilian real/Euro (EXR.M.BRL.EUR.SP00.E)","Canadian dollar/Euro (EXR.M.CAD.EUR.SP00.E)","Swiss franc/Euro (EXR.M.CHF.EUR.SP00.E)","Chinese yuan renminbi/Euro (EXR.M.CNY.EUR.SP00.E)","Euro/Cyprus pound (EXR.M.CYP.EUR.SP00.A)","Czech koruna/Euro (EXR.M.CZK.EUR.SP00.E)","Danish krone/Euro (EXR.M.DKK.EUR.SP00.E)","Algerian dinar/Euro (EXR.M.DZD.EUR.SP00.A)","Algerian dinar/Euro (EXR.M.DZD.EUR.SP00.E)","Euro/Estonian kroon (EXR.M.EEK.EUR.SP00.A)","Egyptian pound/Euro (EXR.M.EGP.EUR.SP00.E)","UK pound sterling/Euro (EXR.M.GBP.EUR.SP00.E)","Euro/Greek drachma (EXR.M.GRD.EUR.SP00.A)","Hong Kong dollar/Euro (EXR.M.HKD.EUR.SP00.E)","Euro/Croatian kuna (EXR.M.HRK.EUR.SP00.E)","Hungarian forint/Euro (EXR.M.HUF.EUR.SP00.E)","Indonesian rupiah/Euro (EXR.M.IDR.EUR.SP00.E)","Israeli shekel/Euro (EXR.M.ILS.EUR.SP00.E)","Indian rupee/Euro (EXR.M.INR.EUR.SP00.E)","Iceland krona/Euro (EXR.M.ISK.EUR.SP00.A)","Japanese yen/Euro (EXR.M.JPY.EUR.SP00.E)","Korean won (Republic)/Euro (EXR.M.KRW.EUR.SP00.E)","Euro/Lithuanian litas (EXR.M.LTL.EUR.SP00.A)","Euro/Lithuanian litas (EXR.M.LTL.EUR.SP00.E)","Euro/Latvian lats (EXR.M.LVL.EUR.SP00.A)","Euro/Latvian lats (EXR.M.LVL.EUR.SP00.E)","Moroccan dirham/Euro (EXR.M.MAD.EUR.SP00.A)","Moroccan dirham/Euro (EXR.M.MAD.EUR.SP00.E)","Euro/Maltese lira (EXR.M.MTL.EUR.SP00.A)","Mexican peso/Euro (EXR.M.MXN.EUR.SP00.E)","Malaysian ringgit/Euro (EXR.M.MYR.EUR.SP00.E)","Norwegian krone/Euro (EXR.M.NOK.EUR.SP00.E)","New Zealand dollar/Euro (EXR.M.NZD.EUR.SP00.E)","Philippine peso/Euro (EXR.M.PHP.EUR.SP00.E)","Polish zloty/Euro (EXR.M.PLN.EUR.SP00.E)","Romanian leu/Euro (EXR.M.RON.EUR.SP00.E)","Russian rouble/Euro (EXR.M.RUB.EUR.SP00.E)","Swedish krona/Euro (EXR.M.SEK.EUR.SP00.E)","Singapore dollar/Euro (EXR.M.SGD.EUR.SP00.E)","Euro/Slovenian tolar (EXR.M.SIT.EUR.SP00.A)","Euro/Slovak koruna (EXR.M.SKK.EUR.SP00.A)","Thai baht/Euro (EXR.M.THB.EUR.SP00.E)","Turkish lira/Euro (EXR.M.TRY.EUR.SP00.E)","New Taiwan dollar/Euro (EXR.M.TWD.EUR.SP00.A)","New Taiwan dollar/Euro (EXR.M.TWD.EUR.SP00.E)","US dollar/Euro (EXR.M.USD.EUR.SP00.E)","South African rand/Euro (EXR.M.ZAR.EUR.SP00.E)"
"1999-01-31","1999Jan","","","1.8087","","","1.7260","1.6123","","0.58174","36.8270","7.4359","","","15.6466","","0.6910","323.56","8.8192","","249.2400","10158.0000","","","80.6230","132.1000","1337.3300","4.64433","4.55430","0.6619","0.6551","","","0.4410","11.6205","4.3249","8.5785","2.1107","43.8190","4.1610","1.3280","26.3482","8.8800","1.9233","189.0726","42.765","42.0319","0.3779","37.4336","","1.1384","6.8804"
"1999-02-28","1999Feb","","","1.7819","","","1.6684","1.5890","","0.58057","37.9080","7.4344","","","15.6466","","0.6873","321.98","8.5382","","253.9100","9726.9300","","","79.5855","131.3300","1348.5500","4.48451","4.41080","0.6468","0.6432","","","0.4354","10.9870","4.1876","8.6965","2.1071","42.9230","4.3482","1.4075","25.4829","9.0025","1.8965","190.2366","43.091","41.1286","0.3881","36.4090","","1.1018","6.8064"
"1999-03-31","1999Mar","","","1.7060","","","1.6211","1.5981","","0.57959","38.3930","7.4317","","","15.6466","","0.6663","322.50","8.3226","","254.8200","9344.2500","","","78.5722","127.8100","1317.8600","4.35340","4.29830","0.6388","0.6336","","","0.4302","10.2562","4.0814","8.3475","2.0243","41.6470","4.2947","1.6059","26.8834","8.8870","1.8544","190.4445","44.435","40.3843","0.4008","36.0378","","1.0742","6.6493"
"1999-04-30","1999Apr","","","1.6078","","","1.5519","1.6113","","0.57924","37.6430","7.4323","","","15.6466","","0.6571","325.53","8.2125","","250.5200","8718.0500","","","78.2414","126.9000","1258.4500","4.28247","4.23830","0.6320","0.6273","","","0.4280","9.8322","4.0262","8.2515","1.8962","40.2660","4.1883","1.5832","26.1118","8.9075","1.8017","192.0508","44.912","39.4060","0.4135","35.2211","","1.0597","6.4682"
"1999-05-31","1999May","","","1.6074","","","1.5411","1.5943","","0.57877","37.5530","7.4318","","","15.6466","","0.6524","325.21","8.1078","","249.6400","8468.5800","","","78.4252","127.1800","1240.3300","4.25281","4.18400","0.6295","0.6215","","","0.4253","10.1048","3.9729","8.2375","1.9531","39.7030","4.1518","1.6327","25.8552","8.9680","1.8056","193.7697","45.899","38.7724","0.4250","34.8180","","1.0456","6.4984"
"1999-06-30","1999Jun","","","1.5598","","","1.5262","1.6034","","0.57792","36.4180","7.4341","","","15.6466","","0.6563","324.16","8.0116","","249.6400","6883.6200","","","77.1645","124.8200","1195.4700","4.15186","4.13250","0.6206","0.6212","","","0.4222","9.7374","3.9239","8.1045","1.9404","39.2390","4.0580","1.6388","25.0558","8.7470","1.7558","195.4837","45.474","38.0639","0.4349","33.6961","","1.0328","6.2621"
"1999-07-31","1999Jul","","","1.6405","","","1.6099","1.5976","","0.57778","36.6640","7.4426","","","15.6466","","0.6598","324.95","8.3019","","253.5600","7310.3800","","","77.1318","123.1900","1287.2100","4.14242","4.27930","0.6231","0.6322","","","0.4220","10.0757","4.0645","8.3345","2.0168","41.1480","4.1279","1.7167","25.9313","8.7735","1.8023","196.8874","45.016","39.8355","0.4593","33.4212","","1.0694","6.5779"
"1999-08-31","1999Aug","","","1.6564","","","1.5753","1.5997","","0.57871","36.5730","7.4344","","","15.6466","","0.6585","326.41","8.2109","","253.8900","8147.2700","","","77.2755","115.5300","1247.5000","4.23993","4.22860","0.6271","0.6221","","","0.4242","9.9453","4.0184","8.2795","2.0439","41.9500","4.2084","1.7138","26.5460","8.6910","1.7787","196.9873","44.569","40.5355","0.4711","33.9140","","1.0573","6.4302"
"1999-09-30","1999Sep","","","1.6395","","","1.5652","1.5967","","0.57830","35.7750","7.4332","","","15.6466","","0.6475","327.00","8.2833","","257.6900","8959.0300","","","76.2377","112.6700","1297.4600","4.20049","4.26520","0.6154","0.6177","","","0.4225","9.9917","4.0529","8.2810","2.0649","43.6810","4.3687","1.7560","26.8088","8.7235","1.8132","196.3492","43.728","43.8192","0.4918","33.3951","","1.0665","6.4097"
"1999-10-31","1999Oct","","","1.6361","","","1.5419","1.6030","","0.57903","36.6120","7.4337","","","15.6466","","0.6393","329.20","8.1262","","255.3200","7221.2600","","","75.8157","109.5900","1254.4400","4.28333","4.18440","0.6190","0.6113","","","0.4244","10.0768","3.9741","8.2460","2.0589","41.9890","4.4150","1.7643","27.3399","8.6600","1.7408","196.7657","43.651","40.4568","0.5028","34.0097","","1.0453","6.4262"
"1999-11-30","1999Nov","","","1.5918","","","1.4868","1.6021","","0.57782","36.0770","7.4393","","","15.6466","","0.6325","328.72","7.8474","","254.1500","7401.1900","","","74.2845","103.0000","1171.3100","4.13746","4.04350","0.6057","0.5944","","","0.4201","9.5271","3.8396","8.1245","1.9759","41.3760","4.3298","1.8038","26.9802","8.5560","1.6990","196.8145","43.241","39.3804","0.5217","32.8199","","1.0097","6.2369"
"1999-12-31","1999Dec","","","1.5422","","","1.4608","1.6051","","0.57699","36.1030","7.4433","","","15.6466","","0.6217","329.68","7.8033","","254.7000","7052.7700","","","73.2914","102.7300","1137.2800","4.04680","4.01690","0.5922","0.5881","","","0.4160","9.5320","3.8148","8.0765","1.9357","40.4070","4.1587","1.8345","27.6689","8.5625","1.6718","198.1957","42.523","37.5980","0.5446","31.9685","","1.0046","6.1870"
"2000-01-31","2000Jan","1.0048","0.9791","1.5430","","1.7756","1.4195","1.6091","8.1040","0.57721","35.7900","7.4424","68.4537","65.7955","15.6466","","0.6047","331.07","7.6206","7.7473","255.3600","7271.3100","3.9990","42.7180","73.3900","104.6200","1100.2500","4.05703","3.91880","0.5943","0.5829","10.1419","10.0475","0.4150","9.4174","3.7220","8.0825","1.9848","39.7390","4.1153","1.8073","28.0545","8.6000","1.6641","199.8146","42.334","36.7091","0.5472","30.9646","30.0610","0.9791","6.1620"
"2000-02-29","2000Feb","0.9829","0.9713","1.5795","","1.7203","1.4097","1.6067","8.0403","0.57592","35.5850","7.4475","68.0467","68.8820","15.6466","","0.6134","333.18","7.5590","7.7573","256.8100","7201.8200","3.9166","42.3530","71.9438","106.8100","1098.5900","3.93461","3.88450","0.5856","0.5794","10.0797","10.0298","0.4115","9.0943","3.6908","8.0805","1.9986","39.8020","4.0335","1.8350","27.8798","8.4320","1.6740","201.2455","42.238","37.0289","0.5560","30.2193","29.8720","0.9714","6.1684"
"2000-03-31","2000Mar","0.9645","0.9552","1.5811","","1.6809","1.3879","1.5907","7.9070","0.57521","36.2230","7.4460","69.5604","69.9280","15.6466","","0.5985","333.89","7.4357","7.7445","258.3800","7262.4000","3.8383","41.6540","71.0326","98.5300","1056.0600","3.85763","3.82070","0.5728","0.5651","9.9781","9.8940","0.4091","8.8773","3.6288","8.0885","1.9328","39.2870","3.9632","1.8615","27.3498","8.2825","1.6354","202.7540","41.631","36.1497","0.5618","29.6005","29.1170","0.9553","6.2873"
